الشركة,الإفتتاح,الأعلى,الأدنى,الإغلاق,التغير,% التغيير,الكمية المتداولة,القيمة المتداولة (ر.س),Sector
أرامكو السعودية,34.85,35.15,26.8,27.95,-6.9,-19.80,"5,543,658,787","2,085,715,602.30",الطاقة
أديس,17.54,26.1,14.84,20.48,2.94,16.76,"1,560,799,272","66,412,733.50",الطاقة
بترو رابغ,10.56,11.06,6.58,8.2,-2.36,-22.35,"629,672,963","108,450,108.56",الطاقة
البحري,23.52,30.4,21.36,29.6,6.08,25.85,"163,385,654","14,383,934.25",الطاقة
الدريس,102.49,147.81,82.53,123.2,20.71,20.21,"96,635,167","42,924,622.80",الطاقة
الحفر العربية,187.80,214.2,112,117.6,-70.2,-37.38,"78,415,952","102,937,306.00",الطاقة
المصافي,84.40,99.7,67.8,76.7,-7.7,-9.12,"45,668,469","4,365,966.90",الطاقة
الكثيري,3.08,3.38,2.37,2.85,-0.23,-7.47,"785,122,007","19,301,370.69",المواد الأساسية
كيان السعودية,12.36,13.22,7.63,8.61,-3.75,-30.34,"614,707,367","35,791,181.12",المواد الأساسية
التصنيع,12.88,15.08,10.54,11.24,-1.64,-12.73,"551,672,530","24,921,526.34",المواد الأساسية
معادن,40.90,56.4,35.4,42.45,1.55,3.79,"493,547,847","137,553,479.25",المواد الأساسية
سبكيم العالمية,36.70,38.3,26.65,28.85,-7.85,-21.39,"428,233,313","46,057,396.95",المواد الأساسية
سابك,89.60,91,73.4,74.8,-14.8,-16.52,"415,403,727","334,182,233.10",المواد الأساسية
أنابيب السعودية,33.90,94,30.6,67.3,33.4,98.53,"322,786,204","17,629,046.40",المواد الأساسية
المجموعة السعودية,25.60,25.85,18.24,19.46,-6.14,-23.98,"236,391,810","24,323,386.66",المواد الأساسية
الزامل للصناعة,24.70,34.3,18.52,27.7,3,12.15,"204,394,845","79,269,525.45",المواد الأساسية
ينساب,43.10,43.9,35.85,40.2,-2.9,-6.73,"201,702,049","66,078,112.10",المواد الأساسية
مبكو,33.45,48.95,26.9,43.95,10.5,31.39,"181,177,306","34,739,931.70",المواد الأساسية
تكوين,13.81,17.72,9.93,11.88,-1.93,-13.98,"179,352,884","23,003,659.14",المواد الأساسية
